title,url,category,status,filename
Ralph Wiggum as a 'software engineer' — Original Post (ghuntley.com),https://ghuntley.com/ralph/,ralph-loops-origin,ok,
Everything is a Ralph Loop — Extended Philosophy (ghuntley.com),https://ghuntley.com/loop/,ralph-loops-origin,ok,
ghuntley/how-to-ralph-wiggum — Official Playbook (GitHub),https://github.com/ghuntley/how-to-ralph-wiggum,ralph-loops-origin,ok,ghuntley-how-to-ralph-wiggum-official-playbook-github-d0a5c3.md
ghuntley/cursed — CURSED Language Flagship Demo (GitHub),https://github.com/ghuntley/cursed,ralph-loops-origin,ok,ghuntley-cursed-cursed-language-flagship-demo-github-3e6829.md
ghuntley.com/subagents — Subagent Patterns & Context Window Management,https://ghuntley.com/subagents/,ralph-loops-origin,failed,
ghuntley.com/gutter — Autoregressive Queens of Failure (Context Rot),https://ghuntley.com/gutter/,ralph-loops-origin,failed,
snarktank/ralph — PRD-driven Claude Code / Amp Loop (GitHub),https://github.com/snarktank/ralph,ralph-loops-implementations,ok,snarktank-ralph-prd-driven-claude-code-amp-loop-github-d24581.md
alfredolopez80/multi-agent-ralph-loop — Multi-Agent + MemPalace Framework (GitHub),https://github.com/alfredolopez80/multi-agent-ralph-loop,ralph-loops-implementations,ok,alfredolopez80-multi-agent-ralph-loop-multi-agent-mempalace--92db8d.md
fstandhartinger/ralph-wiggum — Community Simplified Variant (GitHub),https://github.com/fstandhartinger/ralph-wiggum,ralph-loops-implementations,ok,fstandhartinger-ralph-wiggum-community-simplified-variant-gi-1ebee1.md
ralph-wiggum.ai — Community Hub & Installation Guide,https://ralph-wiggum.ai/,ralph-loops-implementations,failed,
Wiggum CLI — Step-by-Step Ralph Loop Tutorial (wiggum.app),https://wiggum.app/blog/ralph-loop-claude-code-tutorial/,ralph-loops-tutorials,failed,
Getting Started With Ralph (aihero.dev / Matt Pocock),https://www.aihero.dev/getting-started-with-ralph,ralph-loops-tutorials,failed,
11 Tips For AI Coding With Ralph Wiggum (aihero.dev / Matt Pocock),https://www.aihero.dev/tips-for-ai-coding-with-ralph-wiggum,ralph-loops-tutorials,ok,
Amplitude Blog: What I Learned Pointing a Ralph Loop at My Product for a Week,https://amplitude.com/blog/ralph-loop,ralph-loops-tutorials,failed,
Ship Features in Your Sleep with Ralph Loops (geocod.io),https://www.geocod.io/code-and-coordinates/2026-01-27-ralph-loops,ralph-loops-tutorials,failed,
The Ralph Loop Explained — Claude Code Mastery Bootcamp (mejba.me),https://www.mejba.me/ai-school/claude-code-mastery-2026-agentic-engineering-bootcamp/lessons/agentic-engineering-tests-browser-loops-the-ralph-pattern/the-ralph-loop-explained,ralph-loops-tutorials,failed,
The Ralph Loop: Running Claude Code For Hours Autonomously (developersdigest.tech),https://www.developersdigest.tech/blog/claude-code-autonomous-hours,ralph-loops-tutorials,failed,
What Ralph Is: Turning Claude Code and Amp into an Autonomous Loop (knightli.com),https://knightli.com/en/2026/04/27/ralph-autonomous-agent-loop-claude-code-amp/,ralph-loops-tutorials,failed,
ZeroSync: Ralph Loop Technical Deep Dive,https://www.zerosync.co/blog/ralph-loop-technical-deep-dive,ralph-loops-tutorials,failed,
Geoffrey Huntley's Ralph Wiggum Resources (prg.sh bookmarks),https://prg.sh/bookmarks/Geoffrey-Huntley-Ralph-Wiggum,ralph-loops-tutorials,failed,
Ralph Wiggum Loop for Claude Code — Awesome Claude (awesomeclaude.ai),https://awesomeclaude.ai/ralph-wiggum,ralph-loops-tutorials,failed,
Claude Code Autonomous Loops: Ship Features While You Sleep (claudefa.st),https://claudefa.st/blog/guide/mechanics/autonomous-agent-loops,ralph-loops-tutorials,failed,
Loop Engineering: Design Coding Agent Loops That Run While You Sleep (explainx.ai),https://explainx.ai/blog/loop-engineering-coding-agents-claude-code-guide-2026,ralph-loops-tutorials,failed,
Loop Engineering Guide for AI Agents (lushbinary.com),https://lushbinary.com/blog/loop-engineering-ai-coding-agents-guide/,ralph-loops-tutorials,failed,
From ReAct to Ralph Loop — Alibaba Cloud Community,https://www.alibabacloud.com/blog/from-react-to-ralph-loop-a-continuous-iteration-paradigm-for-ai-agents_602799,ralph-loops-tutorials,failed,
Inventing the Ralph Wiggum Loop — Dev Interrupted Podcast (linearb.io),https://linearb.io/dev-interrupted/podcast/inventing-the-ralph-wiggum-loop,ralph-loops-community,failed,
Inventing the Ralph Wiggum Loop — Dev Interrupted Substack,https://devinterrupted.substack.com/p/inventing-the-ralph-wiggum-loop-creator,ralph-loops-community,failed,
What is Ralph Loop? A New Era of Autonomous Coding (Medium),https://medium.com/@tentenco/what-is-ralph-loop-a-new-era-of-autonomous-coding-96a4bb3e2ac8,ralph-loops-community,failed,
Matt Pocock Twitter Thread Breakdown (threadreaderapp),https://threadreaderapp.com/thread/2007924876548637089.html,ralph-loops-community,failed,
Matt Pocock AI Engineering Posts (aihero.dev),https://www.aihero.dev/posts,ralph-loops-community,failed,
Piebald-AI/claude-code-system-prompts — All Claude Code System Prompts (GitHub),https://github.com/Piebald-AI/claude-code-system-prompts,awesome-prompts-system,ok,piebald-ai-claude-code-system-prompts-all-claude-code-system-c734b8.md
EliFuzz/awesome-system-prompts — Claude Code + Cursor + Devin + Kiro (GitHub),https://github.com/EliFuzz/awesome-system-prompts,awesome-prompts-system,ok,elifuzz-awesome-system-prompts-claude-code-cursor-devin-kiro-f48ebe.md
repowise-dev/claude-code-prompts — Independently Authored Agent Prompt Templates (GitHub),https://github.com/repowise-dev/claude-code-prompts,awesome-prompts-system,ok,repowise-dev-claude-code-prompts-independently-authored-agen-a58458.md
ai-boost/awesome-prompts — Curated Prompts + Advanced PE Papers (GitHub),https://github.com/ai-boost/awesome-prompts,awesome-prompts-collections,ok,ai-boost-awesome-prompts-curated-prompts-advanced-pe-papers--59f6d6.md
f/awesome-chatgpt-prompts / prompts.chat — 143k★ World's Largest Prompt Library (GitHub),https://github.com/f/awesome-chatgpt-prompts,awesome-prompts-collections,ok,f-awesome-chatgpt-prompts-prompts-chat-143k-world-s-largest--2a8e47.md
promptslab/Awesome-Prompt-Engineering — Hand-Curated PE Resources (GitHub),https://github.com/promptslab/awesome-prompt-engineering,awesome-prompts-collections,ok,promptslab-awesome-prompt-engineering-hand-curated-pe-resour-66400a.md
langgptai/awesome-claude-prompts — Claude-Specific Prompt Examples (GitHub),https://github.com/langgptai/awesome-claude-prompts,awesome-prompts-collections,ok,langgptai-awesome-claude-prompts-claude-specific-prompt-exam-58adc1.md
snwfdhmp/awesome-gpt-prompt-engineering — Curated GPT PE Resources (GitHub),https://github.com/snwfdhmp/awesome-gpt-prompt-engineering,awesome-prompts-collections,ok,snwfdhmp-awesome-gpt-prompt-engineering-curated-gpt-pe-resou-f07b7f.md
0x2e-Tech/awesome-ai-prompts — 500+ Categorized LLM Prompts (GitHub),https://github.com/0x2e-Tech/awesome-ai-prompts,awesome-prompts-collections,ok,0x2e-tech-awesome-ai-prompts-500-categorized-llm-prompts-git-15e3b9.md
awesomelistsio/awesome-prompt-engineering — Papers + Platforms + Tools (GitHub),https://github.com/awesomelistsio/awesome-prompt-engineering,awesome-prompts-collections,ok,awesomelistsio-awesome-prompt-engineering-papers-platforms-t-9621b0.md
nidhinjs/prompt-master — Claude Skill for Writing Accurate Prompts (GitHub),https://github.com/nidhinjs/prompt-master,awesome-prompts-tools,ok,nidhinjs-prompt-master-claude-skill-for-writing-accurate-pro-0a3efa.md
Anthropic Prompt Engineering Overview (docs.anthropic.com),https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/overview,awesome-prompts-guides,failed,
Anthropic Interactive Prompt Engineering Tutorial (GitHub),https://github.com/anthropics/prompt-eng-interactive-tutorial,awesome-prompts-guides,ok,anthropic-interactive-prompt-engineering-tutorial-github-7592ad.md
Effective Context Engineering for AI Agents — Anthropic Engineering Blog,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,awesome-prompts-guides,ok,
aiwithgrant.com — Complete Anthropic Prompt Engineering Guide (aggregated docs),https://www.aiwithgrant.com/guides/anthropic-prompt-engineering-overview,awesome-prompts-guides,failed,
mattpocock/dictionary-of-ai-coding — AI Coding Jargon Explained (GitHub),https://github.com/mattpocock/dictionary-of-ai-coding,awesome-prompts-guides,ok,mattpocock-dictionary-of-ai-coding-ai-coding-jargon-explaine-d8e544.md
Matt Pocock AI Coding for Real Engineers Workshop Breakdown (explainx.ai),https://explainx.ai/blog/matt-pocock-ai-coding-real-engineers-workshop-2026,awesome-prompts-guides,failed,
